_id,ประเภท,พื้นที่ป่าอนุรักษ์,ครอบคลุมพื้นที่,จำนวน (ตัว)
76,เขตรักษาพันธุ์สัตว์ป่า,คลองยัน,อำเภอท่าฉาง อำเภอคีรีรัฐนิคม อำเภอบ้านตาขุน จังหวัดสุราษฎร์ธานี,
77,อุทยานแห่งชาติ,คลองพนม,อำเภอพนม จังหวัดสุราษฎร์ธานี,100.0
78,เขตรักษาพันธุ์สัตว์ป่า,คลองนาคา,อำเภอกะเปอร์ จังหวัดระนอง /อำเภอบ้านตาขุน จังหวัดสุราษฎร์ธานี,
79,อุทยานแห่งชาติ,ศรีพังงา,อำเภอคุระบุรี อำเภอตะกั่วป่า จังหวัดพังงา,
80,อุทยานแห่งชาติ,เขาสก,อำเภอพนม อำเภอบ้านตาขุน จังหวัดสุราษฎร์ธานี,
81,เขตรักษาพันธุ์สัตว์ป่า,ควนแม่ยายหม่อน,อำเภอพนม อำเภอบ้านตาขุน จังหวัดสุราษฎร์ธานี,
82,เขตรักษาพันธุ์สัตว์ป่า,โตนปริวรรต,อำเภอละแม อำเภอพะโต๊ะ จังหวัดชุมพร/ อำเภอกะเปอร์ อำเภอเมืองระนอง จังหวัดระนอง,
83,อุทยานแห่งชาติ,เขาหลวง,อำเภอพิปูน อำเภอฉวาง อำเภอช้างกลาง อำเภอเมืองนครศรีธรรมราช อำเภอพรหมคีรี  อำเภอลานสกา อำเภอนบพิตำ จังหวัดนครศรีธรรมราช/ อำเภอกาญจนดิษฐ์ อำเภอเวียงสระ จังหวัดสุราษฎร์ธานี,40.0
84,อุทยานแห่งชาติ,ใต้ร่มเย็น,อำเภอกาญจนดิษฐ์ อำเภอบ้านนาสาร อำเภอเวียงสระ จังหวัดสุราษฎร์ธานี,40.0
85,อุทยานแห่งชาติ,น้ำตกสี่ขีด,อำเภอกาญจนดิษฐ์ จังหวัดสุราษฎร์ธานี/ อำเภอสิชล อำเภอนบพิตำ จังหวัดนครศรีธรรมราช,
86,อุทยานแห่งชาติ,เขานัน,อำเภอสิชล อำเภอนบพิตำ อำเภอท่าศาลา จังหวัดนครศรีธรรมราช,
87,เขตรักษาพันธุ์สัตว์ป่า,กะทูน,อำเภอพิปูน จังหวัดนครศรีธรรมราช,
88,อุทยานแห่งชาติ,บางลาง,อำเภอบันนังสตา อำเภอเบตง อำเภอธารโต จังหวัดยะลา,40.0
89,เขตรักษาพันธุ์สัตว์ป่า,ฮาลา-บาลา,อำเภอเบตง จังหวัดยะลา/ อำเภอจะแนะ อำเภอศรีสาคร จังหวัดนราธิวาส/ อำเภอสุคิริน จังหวัดนราธิวาส,50-60
90,อุทยานแห่งชาติ,น้ำตกซีโป,อำเภอจะแนะ อำเภอระแงะ อำเภอรือเสาะ อำเภอศรีสาคร จังหวัดนราธิวาส,10.0
91,อุทยานแห่งชาติ,สันกาลาคีรี,อำเภอสะบ้าย้อย จังหวัดสงขลา,20-25
